"relative_path","filename","experiment","run_id","lifecycle","candidate_id","epoch","size_bytes","sha256","checkpoint_role","canonical_or_mirror","canonical_sha_match","git_lfs_retained","archive_location","archive_verified","backup_copy_1","backup_copy_2","notes"
"reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/source_candidates/SRC_lr1e-4/checkpoint_epoch_0011.hdf5","checkpoint_epoch_0011.hdf5","Experiment_B_Plant2_to_Plant1","20260821T041718Z_seed1234","FORMAL_COMPLETED","SRC_lr1e-4","0011","630096","9224d9f43a5d5396ea3af829490174ce2b55e9f22e7e25ad157a066d4a5c8a2a","PER_EPOCH_CANDIDATE","CANONICAL","","FALSE","F:\Solar_LSTM_External_Evidence_Backup\checkpoint_archive\Linear_Formal_B\reports\Solar Energy Result\Linear_Formal\Experiment_B\20260821T041718Z_seed1234\source_candidates\SRC_lr1e-4\checkpoint_epoch_0011.hdf5","backup_copy_1=VERIFIED_WITH_SHA_LIMITATION;backup_copy_2=VERIFIED","VERIFIED_WITH_SHA_LIMITATION","VERIFIED","Approved Step 5A archive scope; Step 4 selected/locked paths excluded. Google Drive connector exposes per-file upload only; safe bulk/folder transfer for 4,871 raw checkpoints unavailable in this execution. Google Drive path coverage verified; F-only paths = 0; common-path size mismatch = 0; destination-side SHA256 unavailable; 51 desktop.ini files are non-canonical destination-side auxiliary files."
"reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/source_candidates/SRC_lr1e-4/checkpoint_epoch_0012.hdf5","checkpoint_epoch_0012.hdf5","Experiment_B_Plant2_to_Plant1","20260821T041718Z_seed1234","FORMAL_COMPLETED","SRC_lr1e-4","0012","630096","2dd56479461207902e39c6e8e221aa788c073f0466473152cf85aefb1fe753a4","PER_EPOCH_CANDIDATE","CANONICAL","","FALSE","F:\Solar_LSTM_External_Evidence_Backup\checkpoint_archive\Linear_Formal_B\reports\Solar Energy Result\Linear_Formal\Experiment_B\20260821T041718Z_seed1234\source_candidates\SRC_lr1e-4\checkpoint_epoch_0012.hdf5","backup_copy_1=VERIFIED_WITH_SHA_LIMITATION;backup_copy_2=VERIFIED","VERIFIED_WITH_SHA_LIMITATION","VERIFIED","Approved Step 5A archive scope; Step 4 selected/locked paths excluded. Google Drive connector exposes per-file upload only; safe bulk/folder transfer for 4,871 raw checkpoints unavailable in this execution. Google Drive path coverage verified; F-only paths = 0; common-path size mismatch = 0; destination-side SHA256 unavailable; 51 desktop.ini files are non-canonical destination-side auxiliary files."
"reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/source_candidates/SRC_lr1e-4/checkpoint_epoch_0013.hdf5","checkpoint_epoch_0013.hdf5","Experiment_B_Plant2_to_Plant1","20260821T041718Z_seed1234","FORMAL_COMPLETED","SRC_lr1e-4","0013","630096","6e648b8c1a4c8e553f6ff63114cc091ea714a879ccf81306420e252972341259","PER_EPOCH_CANDIDATE","CANONICAL","","FALSE","F:\Solar_LSTM_External_Evidence_Backup\checkpoint_archive\Linear_Formal_B\reports\Solar Energy Result\Linear_Formal\Experiment_B\20260821T041718Z_seed1234\source_candidates\SRC_lr1e-4\checkpoint_epoch_0013.hdf5","backup_copy_1=VERIFIED_WITH_SHA_LIMITATION;backup_copy_2=VERIFIED","VERIFIED_WITH_SHA_LIMITATION","VERIFIED","Approved Step 5A archive scope; Step 4 selected/locked paths excluded. Google Drive connector exposes per-file upload only; safe bulk/folder transfer for 4,871 raw checkpoints unavailable in this execution. Google Drive path coverage verified; F-only paths = 0; common-path size mismatch = 0; destination-side SHA256 unavailable; 51 desktop.ini files are non-canonical destination-side auxiliary files."
"reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/source_candidates/SRC_lr1e-4/checkpoint_epoch_0014.hdf5","checkpoint_epoch_0014.hdf5","Experiment_B_Plant2_to_Plant1","20260821T041718Z_seed1234","FORMAL_COMPLETED","SRC_lr1e-4","0014","630096","e43df6dabb35bfa6afe13e42256e57600d1c7ce5835448673b83f97e534dde64","PER_EPOCH_CANDIDATE","CANONICAL","","FALSE","F:\Solar_LSTM_External_Evidence_Backup\checkpoint_archive\Linear_Formal_B\reports\Solar Energy Result\Linear_Formal\Experiment_B\20260821T041718Z_seed1234\source_candidates\SRC_lr1e-4\checkpoint_epoch_0014.hdf5","backup_copy_1=VERIFIED_WITH_SHA_LIMITATION;backup_copy_2=VERIFIED","VERIFIED_WITH_SHA_LIMITATION","VERIFIED","Approved Step 5A archive scope; Step 4 selected/locked paths excluded. Google Drive connector exposes per-file upload only; safe bulk/folder transfer for 4,871 raw checkpoints unavailable in this execution. Google Drive path coverage verified; F-only paths = 0; common-path size mismatch = 0; destination-side SHA256 unavailable; 51 desktop.ini files are non-canonical destination-side auxiliary files."
"reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/source_candidates/SRC_lr1e-4/checkpoint_epoch_0015.hdf5","checkpoint_epoch_0015.hdf5","Experiment_B_Plant2_to_Plant1","20260821T041718Z_seed1234","FORMAL_COMPLETED","SRC_lr1e-4","0015","630096","55d435e149a78e77e9c3f9017140a9f226ee821cff94e1f5f275db74445b304e","PER_EPOCH_CANDIDATE","CANONICAL","","FALSE","F:\Solar_LSTM_External_Evidence_Backup\checkpoint_archive\Linear_Formal_B\reports\Solar Energy Result\Linear_Formal\Experiment_B\20260821T041718Z_seed1234\source_candidates\SRC_lr1e-4\checkpoint_epoch_0015.hdf5","backup_copy_1=VERIFIED_WITH_SHA_LIMITATION;backup_copy_2=VERIFIED","VERIFIED_WITH_SHA_LIMITATION","VERIFIED","Approved Step 5A archive scope; Step 4 selected/locked paths excluded. Google Drive connector exposes per-file upload only; safe bulk/folder transfer for 4,871 raw checkpoints unavailable in this execution. Google Drive path coverage verified; F-only paths = 0; common-path size mismatch = 0; destination-side SHA256 unavailable; 51 desktop.ini files are non-canonical destination-side auxiliary files."
"reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/source_candidates/SRC_lr1e-4/checkpoint_epoch_0016.hdf5","checkpoint_epoch_0016.hdf5","Experiment_B_Plant2_to_Plant1","20260821T041718Z_seed1234","FORMAL_COMPLETED","SRC_lr1e-4","0016","630096","7d056651071e1bdb5f94e547363a99d496c8cbc0ad0629942cd529de3b59b057","PER_EPOCH_CANDIDATE","CANONICAL","","FALSE","F:\Solar_LSTM_External_Evidence_Backup\checkpoint_archive\Linear_Formal_B\reports\Solar Energy Result\Linear_Formal\Experiment_B\20260821T041718Z_seed1234\source_candidates\SRC_lr1e-4\checkpoint_epoch_0016.hdf5","backup_copy_1=VERIFIED_WITH_SHA_LIMITATION;backup_copy_2=VERIFIED","VERIFIED_WITH_SHA_LIMITATION","VERIFIED","Approved Step 5A archive scope; Step 4 selected/locked paths excluded. Google Drive connector exposes per-file upload only; safe bulk/folder transfer for 4,871 raw checkpoints unavailable in this execution. Google Drive path coverage verified; F-only paths = 0; common-path size mismatch = 0; destination-side SHA256 unavailable; 51 desktop.ini files are non-canonical destination-side auxiliary files."
"reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/source_candidates/SRC_lr1e-4/checkpoint_epoch_0017.hdf5","checkpoint_epoch_0017.hdf5","Experiment_B_Plant2_to_Plant1","20260821T041718Z_seed1234","FORMAL_COMPLETED","SRC_lr1e-4","0017","630096","76c9d462ec68e7e9593ae160a2b54b530c935ba176bf238aff365c1c11a5ab3b","PER_EPOCH_CANDIDATE","CANONICAL","","FALSE","F:\Solar_LSTM_External_Evidence_Backup\checkpoint_archive\Linear_Formal_B\reports\Solar Energy Result\Linear_Formal\Experiment_B\20260821T041718Z_seed1234\source_candidates\SRC_lr1e-4\checkpoint_epoch_0017.hdf5","backup_copy_1=VERIFIED_WITH_SHA_LIMITATION;backup_copy_2=VERIFIED","VERIFIED_WITH_SHA_LIMITATION","VERIFIED","Approved Step 5A archive scope; Step 4 selected/locked paths excluded. Google Drive connector exposes per-file upload only; safe bulk/folder transfer for 4,871 raw checkpoints unavailable in this execution. Google Drive path coverage verified; F-only paths = 0; common-path size mismatch = 0; destination-side SHA256 unavailable; 51 desktop.ini files are non-canonical destination-side auxiliary files."
"reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/source_candidates/SRC_lr1e-4/checkpoint_epoch_0018.hdf5","checkpoint_epoch_0018.hdf5","Experiment_B_Plant2_to_Plant1","20260821T041718Z_seed1234","FORMAL_COMPLETED","SRC_lr1e-4","0018","630096","aa1d3c90e9884316101a794b1d38e3946726d906f74f4ede6a3d2f24034c0292","PER_EPOCH_CANDIDATE","CANONICAL","","FALSE","F:\Solar_LSTM_External_Evidence_Backup\checkpoint_archive\Linear_Formal_B\reports\Solar Energy Result\Linear_Formal\Experiment_B\20260821T041718Z_seed1234\source_candidates\SRC_lr1e-4\checkpoint_epoch_0018.hdf5","backup_copy_1=VERIFIED_WITH_SHA_LIMITATION;backup_copy_2=VERIFIED","VERIFIED_WITH_SHA_LIMITATION","VERIFIED","Approved Step 5A archive scope; Step 4 selected/locked paths excluded. Google Drive connector exposes per-file upload only; safe bulk/folder transfer for 4,871 raw checkpoints unavailable in this execution. Google Drive path coverage verified; F-only paths = 0; common-path size mismatch = 0; destination-side SHA256 unavailable; 51 desktop.ini files are non-canonical destination-side auxiliary files."
"reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/source_candidates/SRC_lr1e-4/checkpoint_epoch_0019.hdf5","checkpoint_epoch_0019.hdf5","Experiment_B_Plant2_to_Plant1","20260821T041718Z_seed1234","FORMAL_COMPLETED","SRC_lr1e-4","0019","630096","187a6f2b97c96a0a7ff8d5cd3a4052525ddb829ee8ea6ddcffd56de0f504322a","PER_EPOCH_CANDIDATE","CANONICAL","","FALSE","F:\Solar_LSTM_External_Evidence_Backup\checkpoint_archive\Linear_Formal_B\reports\Solar Energy Result\Linear_Formal\Experiment_B\20260821T041718Z_seed1234\source_candidates\SRC_lr1e-4\checkpoint_epoch_0019.hdf5","backup_copy_1=VERIFIED_WITH_SHA_LIMITATION;backup_copy_2=VERIFIED","VERIFIED_WITH_SHA_LIMITATION","VERIFIED","Approved Step 5A archive scope; Step 4 selected/locked paths excluded. Google Drive connector exposes per-file upload only; safe bulk/folder transfer for 4,871 raw checkpoints unavailable in this execution. Google Drive path coverage verified; F-only paths = 0; common-path size mismatch = 0; destination-side SHA256 unavailable; 51 desktop.ini files are non-canonical destination-side auxiliary files."
"reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/source_candidates/SRC_lr1e-4/checkpoint_epoch_0020.hdf5","checkpoint_epoch_0020.hdf5","Experiment_B_Plant2_to_Plant1","20260821T041718Z_seed1234","FORMAL_COMPLETED","SRC_lr1e-4","0020","630096","943cbddc40ff026bc3f6a7af15586e34f86fb5c914df1a4796c97014f8392c84","PER_EPOCH_CANDIDATE","CANONICAL","","FALSE","F:\Solar_LSTM_External_Evidence_Backup\checkpoint_archive\Linear_Formal_B\reports\Solar Energy Result\Linear_Formal\Experiment_B\20260821T041718Z_seed1234\source_candidates\SRC_lr1e-4\checkpoint_epoch_0020.hdf5","backup_copy_1=VERIFIED_WITH_SHA_LIMITATION;backup_copy_2=VERIFIED","VERIFIED_WITH_SHA_LIMITATION","VERIFIED","Approved Step 5A archive scope; Step 4 selected/locked paths excluded. Google Drive connector exposes per-file upload only; safe bulk/folder transfer for 4,871 raw checkpoints unavailable in this execution. Google Drive path coverage verified; F-only paths = 0; common-path size mismatch = 0; destination-side SHA256 unavailable; 51 desktop.ini files are non-canonical destination-side auxiliary files."
"reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/source_candidates/SRC_lr1e-4/checkpoint_epoch_0021.hdf5","checkpoint_epoch_0021.hdf5","Experiment_B_Plant2_to_Plant1","20260821T041718Z_seed1234","FORMAL_COMPLETED","SRC_lr1e-4","0021","630096","4d21c4e85a4adf66692cd173856919cd4b87a1224192f20f64dd2060fa1993b6","PER_EPOCH_CANDIDATE","CANONICAL","","FALSE","F:\Solar_LSTM_External_Evidence_Backup\checkpoint_archive\Linear_Formal_B\reports\Solar Energy Result\Linear_Formal\Experiment_B\20260821T041718Z_seed1234\source_candidates\SRC_lr1e-4\checkpoint_epoch_0021.hdf5","backup_copy_1=VERIFIED_WITH_SHA_LIMITATION;backup_copy_2=VERIFIED","VERIFIED_WITH_SHA_LIMITATION","VERIFIED","Approved Step 5A archive scope; Step 4 selected/locked paths excluded. Google Drive connector exposes per-file upload only; safe bulk/folder transfer for 4,871 raw checkpoints unavailable in this execution. Google Drive path coverage verified; F-only paths = 0; common-path size mismatch = 0; destination-side SHA256 unavailable; 51 desktop.ini files are non-canonical destination-side auxiliary files."
"reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/source_candidates/SRC_lr1e-4/checkpoint_epoch_0022.hdf5","checkpoint_epoch_0022.hdf5","Experiment_B_Plant2_to_Plant1","20260821T041718Z_seed1234","FORMAL_COMPLETED","SRC_lr1e-4","0022","630096","507446b76ebbc89e806d74c7fddeb11b74d0d843de8f2434abbabf2dd71041ca","PER_EPOCH_CANDIDATE","CANONICAL","","FALSE","F:\Solar_LSTM_External_Evidence_Backup\checkpoint_archive\Linear_Formal_B\reports\Solar Energy Result\Linear_Formal\Experiment_B\20260821T041718Z_seed1234\source_candidates\SRC_lr1e-4\checkpoint_epoch_0022.hdf5","backup_copy_1=VERIFIED_WITH_SHA_LIMITATION;backup_copy_2=VERIFIED","VERIFIED_WITH_SHA_LIMITATION","VERIFIED","Approved Step 5A archive scope; Step 4 selected/locked paths excluded. Google Drive connector exposes per-file upload only; safe bulk/folder transfer for 4,871 raw checkpoints unavailable in this execution. Google Drive path coverage verified; F-only paths = 0; common-path size mismatch = 0; destination-side SHA256 unavailable; 51 desktop.ini files are non-canonical destination-side auxiliary files."
"reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/source_candidates/SRC_lr1e-4/checkpoint_epoch_0023.hdf5","checkpoint_epoch_0023.hdf5","Experiment_B_Plant2_to_Plant1","20260821T041718Z_seed1234","FORMAL_COMPLETED","SRC_lr1e-4","0023","630096","98df77be8306626f783fc2e6507f3faaf8f176492bd9fed82b9e13d8d94e7afb","PER_EPOCH_CANDIDATE","CANONICAL","","FALSE","F:\Solar_LSTM_External_Evidence_Backup\checkpoint_archive\Linear_Formal_B\reports\Solar Energy Result\Linear_Formal\Experiment_B\20260821T041718Z_seed1234\source_candidates\SRC_lr1e-4\checkpoint_epoch_0023.hdf5","backup_copy_1=VERIFIED_WITH_SHA_LIMITATION;backup_copy_2=VERIFIED","VERIFIED_WITH_SHA_LIMITATION","VERIFIED","Approved Step 5A archive scope; Step 4 selected/locked paths excluded. Google Drive connector exposes per-file upload only; safe bulk/folder transfer for 4,871 raw checkpoints unavailable in this execution. Google Drive path coverage verified; F-only paths = 0; common-path size mismatch = 0; destination-side SHA256 unavailable; 51 desktop.ini files are non-canonical destination-side auxiliary files."
